time,stress
4046.03842,18.941921
4046.139426,18.934805
4046.241432,18.9332801
4046.343438,18.9363298
4046.446444,18.9358215
4046.550449,18.9393796
4046.652455,18.9510702
4046.754461,18.9525951
4046.856467,18.9480205
4046.958473,18.9424293
4047.060479,18.9220977
4047.162485,18.9500537
4047.26449,18.9434459
4047.367496,18.9322635
4047.472502,18.9500537
4047.574508,18.9444625
4047.675514,18.9368381
4047.77752,18.9449708
4047.879525,18.9627609
4047.981531,18.9490371
4048.083537,18.9500537
4048.185543,18.9353133
4048.287549,18.9388713
4048.389555,18.9556448
4048.491561,18.9510702
4048.593566,18.9434459
4048.695572,18.9510702
4048.797578,18.9586946
4048.899584,18.9642858
4049.00159,18.9434459
4049.103595,18.938363
4049.205601,18.9525951
4049.307607,18.9485288
4049.410613,18.9592029
4049.514619,18.9515785
4049.616625,18.9658106
4049.718631,18.9642858
4049.822637,18.976993
4049.925643,18.9688604
4050.026648,18.9714018
4050.128654,18.9556448
4050.23066,18.9505619
4050.332666,18.9536117
4050.434671,18.9785179
4050.536677,18.9897002
4050.638683,18.9719101
4050.740689,18.9632692
4050.842695,18.9729267
4050.944701,18.9622526
4051.046707,18.961236
4051.148713,18.9592029
4051.251719,18.9586946
4051.355724,18.9632692
4051.45773,18.9602194
4051.559736,18.9546283
4051.661742,18.9495454
4051.763748,18.9464956
4051.865754,18.9531034
4051.966759,18.9398879
4052.068765,18.9332801
4052.169771,18.938363
4052.271777,18.9592029
4052.374783,18.9510702
4052.478788,18.9525951
4052.580794,18.9536117
4052.6828,18.9317552
4052.784806,18.9302304
4052.886812,18.9342967
4052.988818,18.9358215
4053.090824,18.934805
4053.192829,18.9307386
4053.294835,18.9307386
4053.396841,18.9327718
4053.498847,18.9322635
4053.600853,18.9149817
4053.702858,18.9205729
4053.804864,18.91549
4053.90687,18.896175
4054.008876,18.9098988
4054.110882,18.926164
4054.213888,18.9342967
4054.315894,18.9220977
4054.4189,18.9200646
4054.523906,18.9083739
4054.625911,18.9017661
4054.727917,18.9078656
4054.829923,18.8956667
4054.932929,18.9012578
4055.036935,18.8916003
4055.138941,18.8900755
4055.240946,18.9012578
4055.342952,18.9088822
4055.444958,18.8814346
4055.546964,18.8880423
4055.64897,18.8992247
4055.750976,18.8880423
4055.853982,18.8824511
4055.957987,18.8743185
4056.059993,18.8666942
4056.161999,18.864661
4056.264005,18.8560201
4056.366011,18.8529703
4056.468017,18.8509372
4056.570023,18.8687273
4056.674028,18.8519538
4056.776034,18.845346
4056.87804,18.8605947
4056.980046,18.8473791
4057.082052,18.8402631
4057.184058,18.8300973
4057.286063,18.845346
4057.388069,18.8661859
4057.490075,18.8514455
4057.592081,18.8570367
4057.694087,18.8448377
4057.796093,18.8270476
4057.898099,18.8194232
4058.000104,18.8107823
4058.10211,18.8199315
4058.204116,18.8311139
4058.306122,18.829589
4058.408128,18.8341636
4058.510134,18.8107823
4058.612139,18.8153569
4058.714145,18.8107823
4058.816151,18.8168818
4058.918157,18.8184066
4059.021163,18.8214564
4059.123169,18.8087491
4059.225174,18.8143403
4059.32718,18.8158652
4059.429186,18.8092574
4059.531192,18.7858761
4059.633198,18.7990916
4059.735204,18.8219647
4059.837209,18.8361968
4059.939215,18.8128155
4060.041221,18.8041745
4060.144227,18.8006165
4060.246233,18.7929922
4060.348239,18.7995999
4060.450244,18.7935004
4060.55225,18.8036662
4060.654256,18.8036662
4060.756262,18.810274
4060.858268,18.7985833
4060.960274,18.7853678
4061.062279,18.7807932
4061.164285,18.7807932
4061.267291,18.7782518
4061.371297,18.7848595
4061.473303,18.7838429
4061.575309,18.790959
4061.677315,18.7807932
4061.77932,18.7884176
4061.881326,18.7757103
4061.983332,18.7619865
4062.085338,18.7563953
4062.187344,18.7492793
4062.28935,18.7579202
4062.391356,18.7599533
4062.493362,18.7477544
4062.596367,18.7599533
4062.698373,18.7416549
4062.800379,18.74013
4062.902385,18.7548704
4063.004391,18.7579202
4063.107397,18.7360637
4063.211402,18.7375886
4063.313408,18.7218316
4063.415414,18.7233565
4063.51742,18.7218316
4063.619426,18.7447046
4063.721432,18.7396217
4063.823437,18.7253896
4063.925443,18.729456
4064.026449,18.7309808
4064.127455,18.7258979
4064.229461,18.7126824
4064.331466,18.7131907
4064.433472,18.7289477
4064.535478,18.7121741
4064.637484,18.7045498
4064.73949,18.7091244
4064.841496,18.7009917
4064.943502,18.7040415
4065.045507,18.7009917
4065.146513,18.694384
4065.248519,18.6984503
4065.350525,18.7086161
4065.45253,18.7020083
4065.554536,18.7009917
4065.656542,18.6994669
4065.758548,18.6933674
4065.860554,18.6725275
4065.96256,18.6791353
4066.064566,18.694384
4066.166572,18.6832016
4066.268577,18.6730358
4066.370583,18.6771021
4066.472589,18.6816767
4066.574595,18.6816767
4066.676601,18.6699861
4066.778606,18.6577871
4066.880612,18.6410136
4066.982618,18.6394887
4067.085624,18.6506711
4067.18963,18.66287
4067.291636,18.6410136
4067.393642,18.62424
4067.495647,18.6237317
4067.597653,18.6354224
4067.699659,18.6410136
4067.801665,18.643555
4067.903671,18.6455882
4068.005677,18.6389804
4068.107682,18.6323726
4068.209688,18.6181405
4068.311694,18.6227151
4068.4137,18.6120411
4068.515706,18.5998421
4068.617712,18.6008587
4068.719718,18.6044167
4068.821723,18.6059416
4068.923729,18.5708696
4069.025735,18.5551126
4069.127741,18.5744276
4069.229747,18.5784939
4069.331752,18.5835768
4069.433758,18.5744276
4069.535764,18.5617204
4069.63777,18.5805271
4069.739776,18.5795105
4069.841782,18.5830685
4069.942788,18.5840851
4070.044793,18.5769691
4070.146799,18.5723945
4070.248805,18.5693447
4070.350811,18.5708696
4070.452817,18.5601955
4070.554822,18.5474883
4070.657828,18.5444385
4070.761834,18.5474883
4070.86384,18.562737
4070.965846,18.5688364
4071.067852,18.573411
4071.169858,18.566295
4071.272863,18.5571458
4071.375869,18.5601955
4071.479875,18.5449468
4071.581881,18.5337645
4071.683887,18.5566375
4071.785893,18.5378308
4071.887898,18.5113997
4071.988905,18.5271567
4072.09091,18.5495214
4072.192916,18.5251235
4072.294922,18.5149577
4072.396928,18.5302064
4072.498934,18.5235987
4072.600939,18.5113997
4072.702945,18.5037754
4072.804951,18.5174992
4072.906957,18.5063168
4073.008963,18.5063168
4073.110969,18.5169909
4073.212975,18.4956427
4073.31498,18.5053002
4073.416986,18.5068251
4073.518992,18.5007256
4073.621998,18.5144494
4073.724004,18.4895433
4073.82601,18.4798858
4073.927015,18.4915764
4074.028021,18.4971676
4074.129027,18.4707365
4074.231033,18.4600625
4074.333038,18.4524381
4074.435044,18.4458303
4074.53705,18.4681951
4074.639056,18.4819189
4074.741062,18.4717531
4074.843068,18.4529464
4074.945074,18.4412557
4075.047079,18.4371894
4075.149085,18.4290568
4075.251091,18.4300734
4075.354097,18.4254988
4075.458103,18.4366811
4075.560109,18.4163495
4075.662115,18.4011009
4075.76412,18.4204159
4075.866126,18.4204159
4075.967132,18.4234656
4076.068138,18.4275319
4076.170144,18.4351563
4076.27215,18.4183827
4076.374155,18.4132998
4076.477161,18.4082169
4076.581167,18.4082169
4076.683173,18.403134
4076.785179,18.3934765
4076.887185,18.4097418
4076.989191,18.4193993
4077.091196,18.4046589
4077.194202,18.3797527
4077.298208,18.3919516
4077.400214,18.3883936
4077.50222,18.3716201
4077.604226,18.3756864
4077.706232,18.376703
4077.807237,18.3751781
4077.908243,18.3807693
4078.009249,18.3817859
4078.111255,18.3899185
4078.213261,18.3858522
4078.315266,18.3726366
4078.417272,18.3726366
4078.520278,18.3700952
4078.624284,18.3594211
4078.72629,18.3634874
4078.828296,18.3665372
4078.930301,18.3517968
4079.032307,18.3594211
4079.134313,18.360946
4079.236319,18.3690786
4079.338325,18.3548465
4079.441331,18.3624708
4079.545337,18.3685703
4079.647342,18.360946
4079.749348,18.3558631
4079.851354,18.3507802
4079.95336,18.3538299
4080.056366,18.3711118
4080.158372,18.3675537
4080.260377,18.360946
4080.362383,18.3711118
4080.464389,18.3761947
4080.566395,18.3655206
4080.668401,18.3421393
4080.770407,18.3553548
4080.872413,18.3584045
4080.974418,18.3421393
4081.076424,18.3390895
4081.17843,18.3512885
4081.281436,18.3584045
4081.385442,18.3446807
4081.487448,18.3467139
4081.589454,18.3401061
4081.69146,18.3395978
4081.793465,18.3472222
4081.895471,18.3482387
4081.997477,18.3441724
4082.099483,18.3350232
4082.201489,18.3462056
4082.303495,18.3675537
4082.4055,18.3655206
4082.507506,18.357388
4082.608512,18.3365481
4082.710517,18.3360398
4082.812523,18.3462056
4082.914529,18.3385812
4083.016535,18.3446807
4083.118541,18.3243491
4083.222547,18.3085922
4083.325553,18.3131668
4083.429559,18.3126585
4083.531565,18.2974098
4083.63357,18.306559
4083.734576,18.313675
4083.836582,18.3299403
4083.938588,18.3299403
4084.039594,18.3177414
4084.140599,18.3091004
4084.242605,18.3279072
4084.344611,18.3218077
4084.446617,18.3085922
4084.548623,18.310117
4084.651629,18.2928352
4084.755635,18.2999512
4084.857641,18.3075756
4084.959646,18.2999512
4085.061652,18.2989346
4085.163658,18.2974098
4085.265664,18.2867357
4085.36867,18.2979181
4085.472676,18.3055424
4085.574681,18.2938518
4085.676687,18.2847025
4085.778693,18.3085922
4085.880699,18.2953766
4085.981705,18.2831777
4086.082711,18.2704704
4086.184716,18.267929
4086.286722,18.2689456
4086.388728,18.2536969
4086.491734,18.2689456
4086.59574,18.2658958
4086.697746,18.2597963
4086.799751,18.2694538
4086.901757,18.264371
4087.003763,18.2542052
4087.105769,18.2511554
4087.207775,18.2582715
4087.309781,18.2384482
4087.412787,18.2277741
4087.516792,18.2369233
4087.618798,18.2531886
4087.720804,18.2531886
4087.82281,18.2298073
4087.924816,18.2318404
4088.025822,18.25573
4088.127828,18.2491223
4088.229833,18.2272658
4088.332839,18.2369233
4088.436845,18.2333653
4088.538851,18.2308238
4088.640857,18.2369233
4088.742863,18.2237078
4088.844869,18.2104923
4088.946874,18.1962601
4089.04888,18.2115088
4089.150886,18.2104923
4089.253892,18.2104923
4089.357898,18.2125254
4089.459904,18.2084591
4089.56191,18.1876192
4089.663916,18.1982933
4089.765921,18.2049011
4089.867927,18.1916855
4089.968933,18.1957519
4090.069939,18.1927021
4090.171945,18.1866026
4090.27395,18.1866026
4090.376956,18.171354
4090.480962,18.1693208
4090.582968,18.1759286
4090.684974,18.1672876
4090.78698,18.1586467
4090.888986,18.1469561
4090.990991,18.1347571
4091.093997,18.1393317
4091.198003,18.1464478
4091.300009,18.1286576
4091.402015,18.1352654
4091.504021,18.1530555
4091.606027,18.1535638
4091.708032,18.1500058
4091.810038,18.1195084
4091.911044,18.1261162
4092.01305,18.1449229
4092.115056,18.1500058
4092.217062,18.1281493
4092.319067,18.124083
4092.422073,18.1301825
4092.524079,18.1220499
4092.626085,18.127641
4092.728091,18.1306908
4092.830096,18.1184918
4092.932102,18.116967
4093.034108,18.1184918
4093.136114,18.1027349
4093.23812,18.1057846
4093.341126,18.1103592
4093.445132,18.1103592
4093.547138,18.1017183
4093.649143,18.0910442
4093.751149,18.0778287
4093.853155,18.0768121
4093.954161,18.0773204
4094.055167,18.0681712
4094.157172,18.0641048
4094.259178,18.0524142
4094.361184,18.0707126
4094.46419,18.0666463
4094.568196,18.0605468
4094.670202,18.0458064
4094.772208,18.0361489
4094.874213,18.0209002
4094.976219,18.0285246
4095.078225,18.0315743
4095.181231,18.0269997
4095.285237,18.0280163
4095.387243,18.0330992
4095.489249,18.0300494
4095.591254,18.0330992
4095.69326,18.0315743
4095.794266,18.0158173
4095.895272,18.0097179
4095.996277,18.027508
4096.097283,18.0203919
4096.199289,18.0127676
4096.301295,17.9985355
4096.403301,18.004635
4096.505307,18.0148007
4096.607313,18.0036184
4096.710319,17.9893863
4096.814324,17.9954857
4096.91633,18.0036184
4097.018336,17.9954857
4097.120342,17.9858282
4097.222348,17.9710878
4097.324354,17.9654967
4097.426359,17.9883697
4097.528365,17.9975189
4097.630371,17.9939609
4097.732377,17.9771873
4097.833383,17.9721044
4097.934389,17.9837951
4098.037395,17.9858282
4098.1394,17.9736293
4098.241406,17.988878
4098.343412,17.9944692
4098.445417,17.9985355
4098.547423,18.0015852
4098.649429,17.9965023
4098.751435,17.9939609
4098.853441,18.0051432
4098.956447,18.0010769
4099.060453,18.0026018
4099.162458,18.0178505
4099.264464,18.0183588
4099.36647,18.0183588
4099.468476,18.0168339
4099.570482,18.0168339
4099.672488,18.0107344
4099.773494,18.015309
4099.874499,18.015309
4099.975505,18.0158173
4100.076511,17.9965023
4100.178517,17.9975189
4100.280523,17.9848117
4100.382528,17.9898946
4100.485534,17.9939609
4100.589541,17.988878
4100.691546,17.9898946
4100.793552,17.9837951
4100.895558,18.0087013
4100.997564,18.0087013
4101.099569,17.9929443
4101.201575,17.9883697
4101.303581,17.9848117
4101.405587,17.9949775
4101.507593,17.9914194
4101.609599,17.9939609
4101.710604,17.9939609
4101.81261,17.9792205
4101.913616,17.9812536
4102.014622,17.992436
4102.116628,17.9827785
4102.218634,17.9904028
4102.320639,18.0026018
4102.422645,17.9975189
4102.524651,17.9944692
4102.626657,17.9863365
4102.728663,17.9827785
4102.830668,17.9807453
4102.932674,17.9898946
4103.03468,18.0148007
4103.137686,18.008193
4103.241692,17.9893863
4103.343698,17.9883697
4103.445704,18.0041267
4103.54771,18.0132759
4103.649715,18.0020935
4103.751721,17.9914194
4103.853727,18.0036184
4103.954733,18.0280163
4104.056739,18.0132759
4104.158744,18.0076847
4104.26075,17.9995521
4104.362756,17.9975189
4104.464762,17.9954857
4104.566768,17.9929443
4104.668774,17.9904028
4104.77078,18.0005686
4104.872785,17.98532
4104.974791,17.9700713
4105.076797,17.9675298
4105.178803,17.9649884
4105.280808,17.9761707
4105.382814,17.9710878
4105.487821,17.9746459
4105.589826,17.9705796
4105.690832,17.9690547
4105.791838,17.9787122
4105.893844,17.9919277
4105.99585,18.0036184
4106.097855,17.9751542
4106.199861,17.973121
4106.301867,17.9726127
4106.403873,17.9710878
4106.506879,17.9746459
4106.610885,17.9604138
4106.712891,17.969563
4106.814896,17.9878614
4106.916902,17.9827785
4107.018908,17.9705796
